model,pair_id,error_type,cosine_score,threshold,report_a_id,report_b_id,title_a,title_b,component_a,component_b
all-minilm_latest,pair_2553,false_positive,0.622407,0.62,sdk_array_bounds_03,sdk_listener_leak_09,List crashes on the last item — array index wrong,100 scroll listeners leaked — no cleanup,list,list
all-minilm_latest,pair_2836,false_positive,0.643167,0.62,gh_2062619579,gh_1992582481,DefaultDomRenderer2 causing setAttribute not a function error on comment element,@for ExpressionChangedAfterItHasBeenCheckedError,github_issue,github_issue
all-minilm_latest,pair_2822,false_positive,0.711353,0.62,syn_stale_cache_08,syn_service_worker_stale_02,"Service worker: skipWaiting not called, cache persists",Stale service worker cache: no versioning or cache-busting strategy,state_management,state_management
all-minilm_latest,pair_2609,false_positive,0.640761,0.62,sdk_cors_error_07,sdk_network_timeout_03,CORS preflight failure: Access-Control-Allow-Origin missing from response,API call timed out — request aborted,api,api
all-minilm_latest,pair_2709,false_positive,0.672252,0.62,sdk_cors_error_09,sdk_network_timeout_04,CORS blocks external API fetch,Network request just hangs and then fails,api,api
all-minilm_latest,pair_2607,false_positive,0.645996,0.62,sdk_api_500_08,sdk_broken_image_07,"Product page not show any item, API give error",Asset 404: headphones.png not found on image server,product,product
all-minilm_latest,pair_2720,false_positive,0.733453,0.62,syn_stale_cache_01,syn_service_worker_stale_00,Dashboard shows old data after deploy,App shows outdated content after deploy — service worker cache stale,state_management,state_management
all-minilm_latest,pair_2566,false_positive,0.803403,0.62,syn_stale_cache_06,syn_service_worker_stale_09,Stale service worker cache persists across deployments,SW serves stale content after deploy,state_management,state_management
all-minilm_latest,pair_2578,false_positive,0.669407,0.62,sdk_api_500_03,sdk_broken_image_09,Products page is blank — API is broken,Headphones image 404,product,product
all-minilm_latest,pair_2881,false_positive,0.647288,0.62,syn_stale_cache_08,syn_service_worker_stale_07,"Service worker: skipWaiting not called, cache persists",Service worker: stale-while-revalidate without version hash causes post-deploy s,state_management,state_management
all-minilm_latest,pair_2924,false_positive,0.686492,0.62,gh_3854656516,gh_3848370593,[Unhandled Error] Uncaught TypeError: Cannot read properties of undefined (readi,Failed to open chat session: Cannot read properties of undefined (reading 'getTo,github_issue,github_issue
all-minilm_latest,pair_2816,false_positive,0.660778,0.62,sdk_network_timeout_04,sdk_rate_limit_429_07,Network request just hangs and then fails,Burst traffic pattern: 10 rapid requests produces mixed status codes,api,api
all-minilm_latest,pair_3074,false_positive,0.703001,0.62,sdk_cors_error_05,sdk_network_timeout_09,"cant fetch from external api, browser blocks it with cors eror",API timeout — request aborted,api,api
all-minilm_latest,pair_2966,false_positive,0.650628,0.62,gh_4202563980,gh_3858326964,[Unhandled Error] Cannot read properties of undefined (reading 'element'),[Unhandled Error] Cannot read properties of undefined (reading 'normalizePositio,github_issue,github_issue
